 Date,Revenue,Expense
1/1/2024,1000,500
1/2/2024,1100,550
1/3/2024,1200,600
1/4/2024,1300,650
1/5/2024,1400,700
1/6/2024,1500,750
1/7/2024,1600,800
1/8/2024,1700,850
1/9/2024,1800,900
1/10/2024,1900,950
1/11/2024,2000,1000
1/12/2024,2100,1050
1/13/2024,2200,1100
1/14/2024,2300,1150
1/15/2024,2400,1200
1/16/2024,2500,1250
1/17/2024,2600,1300
1/18/2024,2700,1350
1/19/2024,2800,1400
1/20/2024,2900,1450
1/21/2024,3000,1500
1/22/2024,3100,1550
1/23/2024,3200,1600
1/24/2024,3300,1650
1/25/2024,3400,1700
1/26/2024,3500,1750
1/27/2024,3600,1800
1/28/2024,3700,1850
1/29/2024,3800,1900
1/30/2024,3900,1950
